company_category_list,cluster
Diagnostics|Health Care|Health Diagnostics|Medical Devices,1
Health Care|Healthcare Services,18
Enterprise Software|Risk Management,24
Hardware + Software|Robotics,21
Health Care Information Technology|Medical|Medical Devices,31
Health Care Information Technology|Health Diagnostics|Medical,31
Social Media|Startups,41
Health Care Information Technology|Medical,31
Social Media|Sports,41
Cloud Computing|Mobile,11
Internet Radio Market|Music,23
Cloud Computing|SaaS|Software,22
Information Security|Software,26
Entrepreneur,30
Health Diagnostics|Medical Devices,1
E-Commerce|Online Shopping|Retail,6
Health Care|Health Care Information Technology,18
Mobile|Photo Sharing|Social Media,49
Consulting|Health Care,18
Health Care|Health Care Information Technology|Software,31
Curated Web|Online Scheduling,14
Search|Travel,20
Enterprise Software|SaaS|Software,22
Semiconductors|Web Hosting,36
Health Diagnostics|Semiconductors,1
Enterprise Software|Mobile,21
Search|Social Media,41
Brewing,34
Advertising|Technology,19
Computers|Internet|Networking,2
Computers|Information Technology|Software,16
Hardware|Semiconductors,13
Email,2
Social Network Media|Sports,41
E-Commerce|Personal Health,31
Mobile|Music|Video Streaming,8
Analytics|E-Commerce,0
Software|Telecommunications,15
Advertising|SaaS,22
Enterprise Software|Information Services|Information Technology,28
Cloud Computing|Cloud Management|Enterprise Software|IaaS,11
Big Data Analytics,46
Biotechnology|Medical|Technology,1
Information Technology|SaaS|Services,4
Sports|Ticketing,35
Health and Wellness|Health Care|Mobile Health,18
Health and Wellness|Health Care|Medical|Therapeutics,18
Enterprise Software|Video,36
Health and Wellness|Health Care|Medical|Pharmaceuticals,18
Cyber Security|Security,26
Classifieds|E-Commerce,0
Email|Software,2
Enterprise Software|Storage|Virtualization,21
Finance|Startups,38
Analytics|Services|Software,46
Staffing Firms,5
Real Estate|Startups,42
Health Care|Life Sciences,18
Real Estate|Software,42
Mobile|Wearables,33
Entertainment|Games|Tourism,40
Health and Wellness|Health Care|Services,18
Coffee|E-Commerce,0
Cloud Computing|Enterprise Software|Software,11
Coffee,34
Health and Wellness|Health Care|Service Providers,18
Health and Wellness|Health Care|SaaS,18
Supply Chain Management,48
Developer Tools,21
Health Care|Medical Devices|Services,18
Curated Web|Reviews and Recommendations,43
Advertising|Search,19
EdTech,27
Finance|Finance Technology|Financial Services|FinTech|Marketplaces,38
Computer Vision,16
Biotechnology|Manufacturing|Pharmaceuticals,27
Health Care|Health Care Information Technology|Hospitals,18
Automotive|Cars,13
Facebook Applications|Games|Social Games,40
E-Commerce|Web Development,36
Internet|Service Providers|Telecommunications,4
Health Care|Medical Devices|Technology,31
Biotechnology|Life Sciences,1
Cloud Computing|Enterprise Software|SaaS|Software,22
Fitness|Health Care|Medical,18
Analytics|Databases,46
